customer_id,age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
1,58,78369,0.8,5,1.6,3,2,21,17,23290,111104,1,1,2,4,4,9,10,1,9,4,9,Female,Tier 1,Hybrid
2,46,165852,9.8,1,4.6,3,7,10,8,41258,56943,6,2,2,7,2,6,6,10,5,1,8,Other,Tier 1,Hybrid
3,42,61313,6.8,14,3.8,6,10,6,2,12512,60242,5,2,4,2,7,5,8,6,3,6,6,Male,Tier 3,Hybrid
4,35,57435,7.5,3,3.3,4,3,14,12,71265,146501,4,6,1,4,1,6,7,5,2,4,10,Other,Tier 2,Hybrid
5,31,281740,5.0,15,3.9,3,5,4,7,147659,141789,5,10,7,10,7,6,4,3,9,8,2,Male,Tier 1,Hybrid
6,27,103876,9.6,7,3.7,7,7,19,14,139204,66406,9,1,2,9,5,6,2,5,7,3,8,Male,Tier 3,Hybrid
7,64,158091,11.7,13,1.2,2,5,26,20,133580,52643,3,6,3,9,9,1,10,6,8,1,2,Female,Tier 2,Hybrid
8,33,50369,3.3,10,5.7,2,8,26,2,140145,33467,3,8,9,3,5,9,10,7,4,9,4,Other,Tier 2,Online
9,43,215779,5.5,9,2.8,4,4,2,10,6014,145707,4,10,4,1,2,1,4,2,1,6,2,Other,Tier 1,Hybrid
10,35,274496,3.0,3,4.4,10,10,15,7,124487,107208,4,2,2,7,6,7,7,8,1,2,1,Female,Tier 3,Hybrid
11,39,77288,3.4,4,3.3,3,7,5,8,121775,65985,2,8,9,2,1,9,1,2,4,3,7,Female,Tier 2,Hybrid
12,31,230260,10.9,3,2.4,7,5,29,14,75276,111388,9,8,3,4,5,4,1,10,9,1,6,Male,Tier 1,Hybrid
13,55,269974,6.3,14,3.3,1,9,2,5,18462,18315,4,7,2,10,4,10,10,1,10,2,7,Other,Tier 3,Hybrid
14,54,294088,4.1,5,1.4,6,4,8,12,34808,79142,8,6,2,1,8,10,10,2,2,9,4,Other,Tier 2,Hybrid
15,26,202981,10.6,15,1.6,5,3,14,17,79803,139158,1,9,5,2,3,5,2,2,9,3,5,Female,Tier 3,Hybrid
16,31,199768,2.8,11,5.1,9,8,8,1,24695,111537,5,1,1,6,3,5,3,8,9,7,9,Male,Tier 1,Hybrid
17,22,98147,6.8,14,2.3,9,3,13,4,11465,81308,6,1,6,4,4,2,6,9,7,10,3,Male,Tier 1,Hybrid
18,69,112826,10.6,1,1.2,6,7,25,7,70441,42232,2,7,1,8,4,4,8,6,5,4,4,Male,Tier 3,Hybrid
19,30,228910,4.3,14,0.6,5,6,20,16,105273,141065,6,1,2,5,3,10,5,1,2,10,7,Female,Tier 3,Hybrid
20,68,184457,5.5,9,0.9,10,4,8,1,114809,943,9,9,4,6,7,2,6,10,6,2,5,Other,Tier 2,Hybrid
21,60,234115,4.3,12,1.9,3,4,13,12,46120,149687,5,7,9,1,5,5,4,7,10,10,6,Female,Tier 2,Hybrid
22,46,132041,6.4,13,5.4,3,2,9,16,88367,24980,4,5,4,4,3,1,1,4,8,10,2,Female,Tier 2,Hybrid
23,58,121940,8.8,7,3.1,4,3,20,0,28441,111949,4,3,9,8,1,9,4,2,8,3,8,Other,Tier 3,Online
